timestamp,allocated,active,metadata,resident,mapped
6258165526390000,66181120,76382208,3881416,80297984,335691776
6258165538927000,66721792,77004800,3883336,80805888,337788928
6258165550572000,67180544,77529088,3885640,81330176,339886080
6258165561970000,67655680,78069760,3887560,81985536,341983232
6258165572436000,68130816,78610432,3889864,82411520,344080384
6258165582637000,68556800,79101952,3891784,82903040,346177536
6258165594207000,68966400,79577088,3894088,83492864,348274688
6258165605572000,69408768,80084992,3895624,83886080,348274688
6258165616864000,69867520,80609280,3897544,84426752,350371840
6258165629275000,70359040,81182720,3900616,85000192,354566144
6258165640439000,70653952,81526784,3902536,85344256,356663296
6258165652257000,70981632,81903616,3904840,85819392,358760448
6258165662419000,71243776,82214912,3906376,86179840,360857600
6258165674236000,71784448,82837504,3908680,86654976,362954752
6258165686878000,72144896,83263488,3910984,87080960,365051904
6258165699627000,72636416,83836928,3913288,87670784,367149056
6258165712257000,73160704,84426752,3915592,88260608,369246208
6258165725142000,73717760,85065728,3917896,88899584,371343360
6258165736718000,74012672,85409792,3920200,89243648,373440512
6258165748580000,74438656,85901312,3922120,89735168,375537664
6258165761427000,74831872,86360064,3924424,90193920,377634816
6258165774109000,75913216,87556096,3927496,91389952,379731968
6258165787030000,77518848,89309184,3931336,93159424,381829120
6258165798143000,79026176,90947584,3934792,94797824,383926272
6258165809518000,80599040,92487680,3938632,96518144,386023424
6258165820094000,81876992,94060544,3941704,97910784,388120576
6258165830878000,83318784,95633408,3945160,99483648,390217728
6258165843426000,84858880,97320960,3949000,101187584,392314880
6258165856042000,86693888,99319808,3953224,103186432,394412032
6258165868470000,88299520,101072896,3957448,104939520,398606336
6258165881229000,89839616,102760448,3961288,106627072,400703488
6258165893253000,91510784,104579072,3965128,108462080,402800640
6258165906035000,93313024,106545152,3969352,110428160,404897792
6258165918831000,94951424,108331008,3973192,112214016,406994944
6258165931672000,96589824,110116864,3977032,113999872,409092096
6258165944120000,98228224,111902720,3980872,115802112,411189248
6258165956987000,99866624,113688576,3984712,117587968,413286400
6258165967857000,101505024,115474432,3988552,119373824,415383552
6258165978463000,102881280,116981760,3992008,120881152,417480704
6258165990068000,104323072,118554624,3995464,122470400,419577856
6258166002767000,106190848,120586240,3999688,124502016,421675008
6258166015243000,107862016,122404864,4003528,126320640,423772160
6258166026844000,109500416,124190720,4007368,128106496,425869312
6258166038575000,111007744,125829120,4010824,129744896,427966464
6258166051161000,112580608,127549440,4014664,131481600,430063616
6258166061904000,114055168,129155072,4018120,133267456,432160768
6258166072507000,115464192,130695168,4021576,134627328,434257920
6258166085188000,117233664,132628480,4025800,136560640,436355072
6258166097511000,118839296,134381568,4029640,138330112,438452224
6258166108029000,120510464,136200192,4033480,140148736,440549376
6258166118436000,121919488,137740288,4037320,141688832,444743680
6258166129983000,123328512,139280384,4040776,143228928,446840832
6258166140337000,124868608,140967936,4044616,144932864,448937984
6258166152953000,126474240,142721024,4048456,146685952,451035136
6258166163553000,128210944,144605184,4052296,148570112,453132288
6258166173999000,129652736,146178048,4055752,150142976,455229440
6258166184387000,131061760,147718144,4059208,151683072,457326592
6258166195855000,132438016,149225472,4062664,153206784,459423744
6258166206370000,134043648,150978560,4066504,154959872,461520896
6258166218078000,135682048,152764416,4070344,156745728,463618048
6258166228408000,136960000,154157056,4073800,158318592,465715200
6258166238759000,138434560,155762688,4076488,159744000,465715200
6258166249264000,139810816,157270016,4079944,161267712,467812352
6258166261027000,141514752,159121408,4083784,163119104,469909504
6258166271540000,143022080,160759808,4087240,164757504,472006656
6258166282275000,144267264,162119680,4090312,166117376,474103808
6258166292506000,145709056,163692544,4093768,167706624,476200960
6258166308134000,146233344,164265984,4095304,168280064,478298112
6258166319394000,161142784,180191232,4120648,184221696,495599616
6258166332089000,174823424,194609152,4147144,198672384,515276800
6258166344557000,174823424,194609152,4147144,198672384,515276800
6258166357172000,174823424,194609152,4147144,198672384,515276800
6258166369047000,174823424,194609152,4147144,198672384,515276800
6258166381656000,174823424,194609152,4147144,198672384,515276800
6258166394265000,174823424,194609152,4147144,198672384,515276800
6258166405682000,174823424,194609152,4147144,198672384,515276800
6258166418296000,174823424,194609152,4147144,198672384,515276800
6258166430904000,174823424,194609152,4147144,198672384,515276800
6258166443523000,174823424,194609152,4147144,198672384,515276800
6258166455532000,174823424,194609152,4147144,198672384,515276800
6258166468154000,174823424,194609152,4147144,198672384,515276800
